Class,Precision,Recall,F1-score
angry,0.4474708171206226,0.36012526096033404,0.39907460960092545
disgusted,0.7142857142857143,0.13513513513513514,0.22727272727272727
fearful,0.4275092936802974,0.224609375,0.29449423815621
happy,0.6858695652173913,0.7113866967305524,0.6983951300498062
neutral,0.3944954128440367,0.6974858069748581,0.5039554644008204
sad,0.4513888888888889,0.31275060144346434,0.3694931312174325
surprised,0.6224066390041494,0.7220216606498195,0.6685236768802229
